calculated_host_listings_count,neighbourhood_group_Manhattan,room_type_Private room,room_type_Shared room,price
0.0,0.0,0.0,0.0,295
0.0,1.0,1.0,0.0,70
0.003067484662576687,0.0,1.0,0.0,58
0.0,0.0,0.0,0.0,75
0.0,0.0,1.0,0.0,38
0.09202453987730062,1.0,0.0,0.0,100
0.0,1.0,0.0,0.0,260
0.0,1.0,0.0,0.0,147
0.0,0.0,1.0,0.0,34
0.0,0.0,1.0,0.0,65
0.024539877300613498,1.0,0.0,0.0,125
0.19631901840490798,1.0,0.0,0.0,310
0.012269938650306749,0.0,1.0,0.0,50
0.0,1.0,1.0,0.0,79
0.003067484662576687,0.0,0.0,0.0,329
0.003067484662576687,0.0,1.0,0.0,115
0.0,0.0,0.0,0.0,140
0.003067484662576687,0.0,0.0,0.0,225
0.012269938650306749,1.0,1.0,0.0,149
0.0,0.0,1.0,0.0,50
0.018404907975460124,1.0,1.0,0.0,88
0.0,0.0,0.0,0.0,200
0.0,0.0,0.0,0.0,160
0.0,0.0,0.0,0.0,125
0.006134969325153375,1.0,1.0,0.0,75
0.0,0.0,1.0,0.0,80
0.0,0.0,0.0,0.0,140
0.0,0.0,0.0,0.0,134
0.0,0.0,1.0,0.0,65
0.15644171779141103,0.0,0.0,0.0,159
0.0,1.0,0.0,0.0,300
0.0,0.0,1.0,0.0,95
0.0,1.0,1.0,0.0,70
0.015337423312883437,0.0,0.0,0.0,248
0.012269938650306749,1.0,0.0,0.0,750
0.0,0.0,1.0,0.0,90
0.02147239263803681,0.0,0.0,0.0,80
0.0,1.0,0.0,0.0,85
0.0,0.0,1.0,0.0,50
0.0,0.0,0.0,0.0,295
0.0,1.0,1.0,0.0,80
0.0,1.0,1.0,0.0,109
0.0,1.0,1.0,0.0,100
0.0,0.0,1.0,0.0,45
0.0,0.0,0.0,0.0,135
0.006134969325153375,0.0,0.0,0.0,115
0.0,1.0,1.0,0.0,185
0.0,0.0,0.0,0.0,150
0.7085889570552147,1.0,0.0,0.0,290
0.003067484662576687,0.0,1.0,0.0,80
0.006134969325153375,0.0,1.0,0.0,65
0.003067484662576687,0.0,1.0,0.0,45
0.0,0.0,0.0,0.0,80
0.006134969325153375,0.0,1.0,0.0,75
0.0,1.0,1.0,0.0,69
0.0,0.0,1.0,0.0,65
0.0,0.0,1.0,0.0,60
0.0,1.0,0.0,0.0,195
0.006134969325153375,1.0,1.0,0.0,69
0.0,0.0,0.0,0.0,160
0.0,0.0,0.0,0.0,150
0.003067484662576687,1.0,1.0,0.0,250
0.0,0.0,0.0,0.0,90
0.0,1.0,0.0,0.0,235
0.018404907975460124,1.0,1.0,0.0,100
0.0,1.0,0.0,0.0,239
0.0,1.0,0.0,0.0,65
0.0,0.0,0.0,0.0,115
0.0,0.0,0.0,0.0,60
0.0,0.0,1.0,0.0,60
0.0,1.0,1.0,0.0,45
0.0,1.0,0.0,0.0,300
0.003067484662576687,0.0,1.0,0.0,35
0.009202453987730062,0.0,1.0,0.0,69
0.0,1.0,0.0,0.0,198
0.0,1.0,0.0,0.0,100
0.009202453987730062,0.0,1.0,0.0,60
0.0,0.0,1.0,0.0,225
0.009202453987730062,0.0,0.0,0.0,325
0.0,1.0,0.0,0.0,350
0.0,0.0,1.0,0.0,45
0.0,1.0,0.0,0.0,200
0.0,0.0,0.0,0.0,100
0.0,0.0,0.0,0.0,125
0.006134969325153375,0.0,1.0,0.0,68
0.003067484662576687,0.0,0.0,0.0,115
0.0,0.0,1.0,0.0,55
0.0,0.0,0.0,0.0,65
0.0,1.0,0.0,0.0,300
0.0,1.0,0.0,0.0,100
0.0,1.0,1.0,0.0,98
0.0,0.0,0.0,0.0,100
0.0,1.0,0.0,0.0,165
0.0,0.0,1.0,0.0,55
0.0,0.0,1.0,0.0,149
0.009202453987730062,1.0,1.0,0.0,102
0.009202453987730062,1.0,1.0,0.0,85
0.0,0.0,1.0,0.0,89
0.0,0.0,1.0,0.0,45
0.0,1.0,0.0,0.0,299
0.0,0.0,0.0,0.0,130
0.0,1.0,1.0,0.0,93
0.0,1.0,0.0,0.0,210
0.0,1.0,0.0,0.0,200
0.0,0.0,1.0,0.0,70
0.0,1.0,0.0,0.0,90
0.03067484662576687,1.0,0.0,0.0,140
0.0,0.0,1.0,0.0,60
0.003067484662576687,0.0,0.0,0.0,125
0.015337423312883437,0.0,1.0,0.0,49
0.0,0.0,0.0,0.0,125
0.006134969325153375,0.0,1.0,0.0,45
0.009202453987730062,1.0,1.0,0.0,65
0.0,0.0,1.0,0.0,65
0.0,0.0,1.0,0.0,50
0.0,1.0,1.0,0.0,49
0.0,1.0,0.0,0.0,120
0.0,1.0,1.0,0.0,125
0.006134969325153375,1.0,0.0,0.0,150
0.003067484662576687,0.0,0.0,0.0,200
0.0,1.0,0.0,0.0,144
0.0,0.0,0.0,0.0,135
0.0,0.0,1.0,0.0,90
0.003067484662576687,0.0,0.0,0.0,120
0.0,0.0,0.0,0.0,160
0.7085889570552147,1.0,0.0,0.0,314
0.0,0.0,1.0,0.0,54
0.003067484662576687,0.0,1.0,0.0,50
0.0,0.0,0.0,0.0,275
0.0,1.0,1.0,0.0,68
0.003067484662576687,0.0,0.0,1.0,50
0.0,0.0,0.0,0.0,125
0.0,0.0,1.0,0.0,75
0.006134969325153375,0.0,1.0,0.0,100
0.0,1.0,0.0,0.0,130
0.0,0.0,0.0,0.0,100
0.0,0.0,0.0,0.0,270
0.0,0.0,1.0,0.0,48
0.006134969325153375,1.0,1.0,0.0,130
0.0,0.0,0.0,0.0,200
0.0,0.0,1.0,0.0,43
0.0,0.0,1.0,0.0,60
0.003067484662576687,0.0,0.0,0.0,130
0.0,1.0,0.0,0.0,275
0.0,0.0,0.0,0.0,79
0.003067484662576687,0.0,1.0,0.0,48
0.006134969325153375,1.0,0.0,0.0,450
0.0,1.0,0.0,0.0,639
0.0,1.0,1.0,0.0,40
0.0,0.0,1.0,0.0,51
0.0,0.0,1.0,0.0,52
0.003067484662576687,0.0,1.0,0.0,65
0.19631901840490798,1.0,0.0,0.0,188
0.0,0.0,1.0,0.0,120
0.012269938650306749,0.0,1.0,0.0,58
0.003067484662576687,0.0,1.0,0.0,60
0.006134969325153375,1.0,1.0,0.0,115
0.0,1.0,0.0,0.0,199
0.0,0.0,0.0,0.0,290
0.3680981595092025,1.0,0.0,0.0,275
0.0,0.0,1.0,0.0,60
0.018404907975460124,0.0,1.0,0.0,60
0.003067484662576687,0.0,1.0,0.0,50
0.0,1.0,1.0,0.0,75
0.0,0.0,0.0,0.0,82
0.003067484662576687,0.0,0.0,0.0,150
0.0,1.0,0.0,1.0,99
0.0,0.0,1.0,0.0,65
0.0,0.0,0.0,0.0,100
0.003067484662576687,0.0,0.0,0.0,72
0.0,1.0,1.0,0.0,50
0.006134969325153375,0.0,1.0,0.0,81
0.003067484662576687,0.0,0.0,0.0,120
0.003067484662576687,0.0,0.0,0.0,95
0.0,1.0,0.0,0.0,119
0.0,1.0,0.0,0.0,220
0.006134969325153375,1.0,1.0,0.0,122
0.1411042944785276,1.0,1.0,0.0,55
0.006134969325153375,0.0,0.0,0.0,218
0.0,1.0,0.0,0.0,150
0.0,0.0,0.0,0.0,212
0.003067484662576687,1.0,1.0,0.0,69
0.0,1.0,0.0,0.0,150
0.0,0.0,0.0,0.0,70
0.0,1.0,0.0,0.0,235
0.0,0.0,0.0,0.0,78
0.0,0.0,0.0,0.0,150
0.003067484662576687,0.0,1.0,0.0,89
0.0,1.0,0.0,0.0,200
0.0,0.0,0.0,0.0,175
0.0,1.0,1.0,0.0,80
0.003067484662576687,0.0,1.0,0.0,50
0.0,1.0,0.0,0.0,150
0.0,0.0,1.0,0.0,75
0.0,1.0,1.0,0.0,100
0.003067484662576687,1.0,0.0,1.0,50
0.0,0.0,1.0,0.0,135
0.10122699386503069,1.0,1.0,0.0,65
0.0,0.0,0.0,1.0,50
0.0,1.0,0.0,0.0,390
0.0,0.0,0.0,0.0,95
0.0,0.0,1.0,0.0,52
0.0,0.0,0.0,0.0,162
0.0,0.0,1.0,0.0,45
0.003067484662576687,0.0,1.0,0.0,79
0.0,1.0,1.0,0.0,60
0.0,1.0,1.0,0.0,76
0.0,1.0,1.0,0.0,99
0.0,1.0,1.0,0.0,45
0.0,0.0,0.0,0.0,144
0.05828220858895705,1.0,0.0,0.0,130
0.0,1.0,0.0,0.0,89
0.0,1.0,0.0,0.0,125
0.006134969325153375,0.0,0.0,1.0,40
0.003067484662576687,0.0,0.0,0.0,120
0.0,1.0,1.0,0.0,160
0.0,0.0,1.0,0.0,85
0.0,1.0,0.0,0.0,85
0.0,1.0,1.0,0.0,80
0.0,0.0,1.0,0.0,65
0.0,1.0,0.0,0.0,220
0.009202453987730062,0.0,1.0,0.0,75
0.003067484662576687,1.0,1.0,0.0,65
0.0,1.0,0.0,0.0,350
0.05214723926380368,1.0,0.0,0.0,499
0.0,0.0,0.0,0.0,142
0.0,0.0,0.0,0.0,116
0.003067484662576687,0.0,1.0,0.0,60
0.003067484662576687,1.0,1.0,0.0,85
0.0,1.0,0.0,0.0,150
0.0,0.0,1.0,0.0,69
0.0,0.0,0.0,0.0,70
0.0,0.0,1.0,0.0,100
